id;broj_ugovora;datum_ugovora;predmet_ugovora;naziv_ponudjaca;broj_datum_tenderske_dokumntacije;broj_datum_odluke_izbora;broj_datum_ponude;iznos_ugovora_bez_pdf;sifra_postupka;sifra_ponude;sifra_ponudjaca
1;Account;2021-05-28;B2B open-source haptic;Central pricing;mobile;Ouguiya;port Fresh Tuna;95564;23960;75398;4013
2;eyeballs online;2021-05-28;empowering Czech Soft;Trinidad Drive;transparent Oklahoma target;methodologies B2B Movies;Angola analyzing;81429;69725;17118;87243
3;alarm;2021-05-28;invoice;Product;Licensed Intelligent expedite;networks;brand Strategist;43459;69397;4494;38132
4;Borders Berkshire orchestrate;2021-05-29;systems Marketing;Shoal;artificial Steel;Wooden Cliffs Investment;Coordinator program Ergonomic;3394;77573;86440;27752
5;optimal;2021-05-28;Dynamic;Intelligent turquoise;transmitting;Metal Buckinghamshire;Keyboard Cliffs;41854;26612;1920;14703
6;invoice Ouguiya;2021-05-28;Fresh payment;Sausages Jamaica navigate;Account panel;online;Metal Persevering;25060;355;98281;17369
7;transmit 4th;2021-05-28;Handcrafted;reciprocal Jewelery;TCP optical Islands;Regional;Pound;46533;45077;48544;2168
8;Oklahoma;2021-05-28;Intranet ROI;Borders;distributed New;Carolina Baby Technician;Soft Jewelery;87983;7718;6473;7640
9;override;2021-05-28;deposit engine;Innovative;Euro Licensed;National;scalable mindshare;2928;36173;11440;79853
10;Motorway Brand Electronics;2021-05-28;Grocery Bike;Credit matrix SQL;silver Integration Barbados;New Avon object-oriented;Analyst invoice JBOD;65989;58777;45090;80096
